 &plot nbnd= 100, nks=   701 /
            0.000000  0.000000  0.000000
   -9.826   -9.810   -0.730    1.952    5.933    7.285    7.335    8.144    8.451    8.972
    9.115    9.804    9.831   10.193   10.723   10.895   11.521   12.432   12.822   13.624
   14.286   15.912   16.193   16.245   16.991   17.192   17.557   18.365   19.857   20.286
   20.664   21.503   21.653   22.271   23.749   24.746   25.203   25.501   25.649   26.166
   27.682   28.787   29.030   29.438   30.384   30.651   31.201   32.020   32.505   33.270
   34.745   35.227   36.708   37.214   37.607   37.937   38.707   38.951   39.102   39.825
   39.837   40.379   40.477   40.876   41.646   41.715   42.228   42.794   42.801   43.609
   43.883   44.115   44.476   45.140   45.278   45.877   46.365   46.505   46.729   46.776
   47.106   47.314   47.600   47.839   48.408   48.574   48.935   49.996   50.154   50.635
            0.131213  0.000000  0.055296
  -72.233  -72.224  -38.010  -38.010  -37.998  -37.984  -37.946  -37.946  -28.808   -9.830
   -9.826   -9.810   -0.726    1.950    5.940    7.280    7.335    8.150    8.446    8.966
    9.123    9.799    9.833   10.187   10.702   10.873   11.542   12.406   12.819   13.646
   14.318   15.927   16.174   16.250   17.013   17.184   17.577   18.354   19.816   20.265
   20.660   21.488   21.652   22.297   23.781   24.742   25.207   25.513   25.691   26.205
   27.637   28.749   29.036   29.392   30.418   30.660   31.252   32.051   32.546   33.187
   34.770   35.162   36.720   37.252   37.535   37.894   38.663   38.926   39.099   39.793
   39.871   40.367   40.476   40.888   41.621   41.642   42.272   42.756   42.859   43.668
   43.897   44.089   44.469   45.181   45.231   45.817   46.368   46.483   46.693   46.725
   47.147   47.362   47.569   47.858   48.418   48.586   48.998   50.086   50.209   50.653
            0.138118  0.000000  0.058206
  -72.233  -72.224  -38.010  -38.010  -37.998  -37.984  -37.946  -37.946  -28.808   -9.831
   -9.826   -9.810   -0.721    1.948    5.947    7.275    7.336    8.156    8.441    8.960
    9.131    9.794    9.834   10.181   10.681   10.850   11.564   12.382   12.817   13.668
   14.351   15.942   16.155   16.254   17.036   17.175   17.595   18.345   19.776   20.244
   20.655   21.473   21.650   22.324   23.813   24.740   25.210   25.526   25.734   26.246
   27.595   28.711   29.039   29.348   30.452   30.669   31.305   32.083   32.578   33.113
   34.795   35.095   36.732   37.286   37.463   37.851   38.621   38.895   39.094   39.746
   39.920   40.358   40.475   40.902   41.567   41.589   42.318   42.716   42.928   43.700
   43.934   44.061   44.460   45.188   45.221   45.756   46.363   46.458   46.653   46.677
   47.201   47.409   47.540   47.880   48.433   48.598   49.063   50.173   50.262   50.715
            0.145024  0.000000  0.061117
  -72.233  -72.224  -38.010  -38.009  -37.998  -37.984  -37.947  -37.947  -28.808   -9.831
   -9.826   -9.810   -0.716    1.946    5.955    7.269    7.337    8.162    8.436    8.953
    9.139    9.789    9.835   10.174   10.660   10.827   11.585   12.358   12.814   13.690
   14.385   15.957   16.135   16.259   17.059   17.166   17.610   18.339   19.736   20.223
   20.650   21.457   21.648   22.351   23.846   24.739   25.212   25.539   25.778   26.289
   27.555   28.673   29.034   29.310   30.487   30.678   31.358   32.116   32.596   33.055
   34.822   35.027   36.743   37.314   37.390   37.810   38.582   38.858   39.088   39.698
   39.972   40.350   40.474   40.917   41.490   41.553   42.364   42.682   43.000   43.705
   43.994   44.032   44.448   45.150   45.260   45.695   46.347   46.429   46.616   46.634
   47.261   47.452   47.514   47.907   48.453   48.609   49.129   50.254   50.323   50.663
            0.151930  0.000000  0.064027
  -72.233  -72.224  -38.009  -38.009  -37.998  -37.984  -37.947  -37.947  -28.808   -9.831
   -9.826   -9.810   -0.711    1.944    5.963    7.264    7.338    8.168    8.432    8.946
    9.147    9.784    9.837   10.167   10.639   10.803   11.606   12.335   12.812   13.711
   14.420   15.973   16.116   16.264   17.083   17.157   17.622   18.335   19.695   20.201
   20.643   21.441   21.646   22.379   23.879   24.738   25.213   25.552   25.823   26.332
   27.518   28.635   29.020   29.282   30.521   30.687   31.413   32.150   32.593   33.020
   34.850   34.956   36.753   37.317   37.335   37.771   38.547   38.815   39.080   39.652
   40.025   40.341   40.472   40.934   41.413   41.514   42.409   42.653   43.076   43.693
   44.001   44.067   44.432   45.117   45.296   45.635   46.319   46.397   46.588   46.595
   47.322   47.467   47.514   47.937   48.477   48.619   49.197   50.322   50.393   50.712
            0.158836  0.000000  0.066937
  -72.233  -72.224  -38.009  -38.009  -37.998  -37.984  -37.947  -37.947  -28.808   -9.832
